Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Sim.Device,Sim.Pins
C1,1,220µ/50V,CP_Radial_D10.0mm_P5.00mm,,,,tht,,
C2,1,330n/50V,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,,,tht,,
C3,1,100n/16V,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,,,tht,,
C4,1,10µ/16V,CP_Radial_Tantal_D5.5mm_P2.50mm,,,,tht,,
C5,1,150p/16V,C_Disc_D5.0mm_W2.5mm_P5.00mm,,,,tht,,
C6,1,100n/16V,C_Disc_D5.0mm_W2.5mm_P5.00mm,,,,tht,,
"D1, D3",2,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,,,,tht,D,1=K 2=A
D2,1,"24V/1,3W",D_DO-41_SOD81_P10.16mm_Horizontal,,,,tht,,
D4,1,gn/3mm,LED_D3.0mm-gn,,,,tht,,
D5,1,1N4148,D_DO-35_SOD27_P10.16mm_Horizontal,,,,tht,D,1=K 2=A
D6,1,"5V1/0,5W",D_DO-35_SOD27_P10.16mm_Horizontal,,,,tht,,
D7,1,rt/3mm,LED_D3.0mm-rd,,,,tht,,
D8,1,ge/3mm,LED_D3.0mm-ye,,,,tht,,
J1,1,CARRERA_PWR,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,tht,,
J2,1,ISP/DebugWire,PinHeader_2x03_P2.54mm_Horizontal,,,,tht,,
J3,1,DebugPins,PinHeader_1x03_P2.54mm_Horizontal,,,,tht,,
J4,1,LED_OUT,PinSocket_1x10_P2.54mm_Vertical,,,,tht,,
J5,1,HALTER,PinSocket_1x05_P2.54mm_Vertical,,,,tht,,
R1,1,"68R/0,6W",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,,
"R2, R6, R7",3,470R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,,
R3,1,1k8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,,
R4,1,1k0,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,,
R5,1,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,,
U1,1,L78L05_TO92,TO-92_Wide,,,,tht,,
U2,1,ATtiny2313A-P,DIP-20_W7.62mm,,,,tht,,
