pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
40.64,-30.512323,-90.0,top,C1,,,CP_Radial_D10.0mm_P5.00mm,220µ/50V,tht
47.63,-29.29,-90.0,top,C2,,,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,330n/50V,tht
59.06,-29.25,-90.0,top,C3,,,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,100n/16V,tht
64.14,-29.25,-90.0,top,C4,,,CP_Radial_Tantal_D5.5mm_P2.50mm,10µ/16V,tht
43.18,-53.26,90.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,150p/16V,tht
88.9,-26.67,180.0,top,C6,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100n/16V,tht
29.845,-38.735,90.0,top,D1,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4001,tht
33.655,-24.765,0.0,top,D2,,,D_DO-41_SOD81_P10.16mm_Horizontal,"24V/1,3W",tht
50.8,-24.765,0.0,top,D3,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4001,tht
64.78,-36.83,180.0,top,D4,,,LED_D3.0mm-gn,gn/3mm,tht
31.75,-53.34,90.0,top,D5,,,D_DO-35_SOD27_P10.16mm_Horizontal,1N4148,tht
46.99,-53.34,90.0,top,D6,,,D_DO-35_SOD27_P10.16mm_Horizontal,"5V1/0,5W",tht
69.845,-38.735,0.0,top,D7,,,LED_D3.0mm-rd,rt/3mm,tht
75.56,-38.735,0.0,top,D8,,,LED_D3.0mm-ye,ge/3mm,tht
24.13,-50.8,90.0,top,J1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,CARRERA_PWR,tht
59.04,-42.545,-90.0,top,J2,,,PinHeader_2x03_P2.54mm_Horizontal,ISP/DebugWire,tht
71.135,-33.585,90.0,top,J3,,,PinHeader_1x03_P2.54mm_Horizontal,DebugPins,tht
95.25,-27.94,180.0,bottom,J4,,,PinSocket_1x10_P2.54mm_Vertical,LED_OUT,tht
24.13,-27.94,180.0,bottom,J5,,,PinSocket_1x05_P2.54mm_Vertical,HALTER,tht
33.655,-38.735,90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"68R/0,6W",tht
57.79,-38.1,180.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,470R,tht
35.56,-43.18,-90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k8,tht
39.37,-53.34,90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k0,tht
64.77,-53.34,90.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,15k,tht
69.85,-43.18,-90.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,470R,tht
75.565,-53.34,90.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,470R,tht
55.885,-30.52,180.0,top,U1,,,TO-92_Wide,L78L05_TO92,tht
81.29,-30.485,0.0,top,U2,,,DIP-20_W7.62mm,ATtiny2313A-P,tht
