pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
40.64,-30.48,180.0,top,C7,,,CP_Radial_Tantal_D5.5mm_P2.50mm,10uF/50V,tht
48.255,-35.56,0.0,top,D10,,,LED_D5.0mm_rd,rt/5mm,tht
55.875,-27.94,0.0,top,D11,,,LED_D5.0mm_rd,rt/5mm,tht
55.875,-35.56,0.0,top,D12,,,LED_D5.0mm_rd,rt/5mm,tht
63.495,-27.94,0.0,top,D13,,,LED_D5.0mm_rd,rt/5mm,tht
63.495,-35.56,0.0,top,D14,,,LED_D5.0mm_rd,rt/5mm,tht
71.115,-27.94,0.0,top,D15,,,LED_D5.0mm_rd,rt/5mm,tht
71.115,-35.56,0.0,top,D16,,,LED_D5.0mm_rd,rt/5mm,tht
78.735,-27.94,0.0,top,D17,,,LED_D5.0mm_rd,rt/5mm,tht
78.735,-35.56,0.0,top,D18,,,LED_D5.0mm_rd,rt/5mm,tht
78.735,-43.18,0.0,top,D19,,,LED_D5.0mm_gn,gn/5mm,tht
71.115,-43.18,0.0,top,D20,,,LED_D5.0mm_gn,gn/5mm,tht
63.495,-43.18,0.0,top,D21,,,LED_D5.0mm_gn,gn/5mm,tht
55.875,-43.18,0.0,top,D22,,,LED_D5.0mm_gn,gn/5mm,tht
48.255,-43.18,0.0,top,D23,,,LED_D5.0mm_gn,gn/5mm,tht
78.735,-50.8,0.0,top,D24,,,LED_D5.0mm_ye,ge/5mm,tht
71.115,-50.8,0.0,top,D25,,,LED_D5.0mm_ye,ge/5mm,tht
63.495,-50.8,0.0,top,D26,,,LED_D5.0mm_ye,ge/5mm,tht
55.875,-50.8,0.0,top,D27,,,LED_D5.0mm_ye,ge/5mm,tht
48.255,-50.8,0.0,top,D28,,,LED_D5.0mm_ye,ge/5mm,tht
41.91,-25.4,180.0,top,D8,,,D_DO-41_SOD81_P7.62mm_Horizontal,1N4001,tht
48.255,-27.94,0.0,top,D9,,,LED_D5.0mm_rd,rt/5mm,tht
29.21,-27.94,180.0,bottom,J6,,,PinHeader_1x10_P2.54mm_Vertical,LED_IN,tht
100.33,-27.94,180.0,bottom,J7,,,PinHeader_1x05_P2.54mm_Vertical,HALTER,tht
86.36,-40.005,90.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,560R,tht
95.885,-26.67,180.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,560R,tht
93.975,-53.975,90.0,top,R12,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,560R,tht
86.36,-43.815,-90.0,top,R13,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
90.165,-43.815,-90.0,top,R14,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220R,tht
93.98,-40.005,90.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,560R,tht
90.17,-40.005,90.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,560R,tht
35.56,-35.56,0.0,top,U3,,,DIP-16_W7.62mm,ULN2003A,tht
